,state,claimscount,amountpaidontotalclaim,average_paid_claim
0,AK,665,6093652.6899999995,9163.387503759397
1,AL,40579,710916445.1399999,17519.318986175113
2,AR,9520,112406579.12999994,11807.413774159657
3,AS,10,36085.950000000004,3608.5950000000003
4,AZ,4930,33148794.970000017,6723.8935030426
5,CA,50205,361784096.8099981,7206.136775420737
6,CO,5266,49128676.02000001,9329.41056209647
7,CT,28080,320282351.22999966,11406.066639245002
8,DC,411,2927821.5,7123.653284671533
9,DE,6024,56415098.33999999,9365.056165338643
10,FL,295397,4137477706.2999926,14006.49873323017
11,GA,21380,285130675.01000017,13336.327175397575
12,GU,159,884382.6300000001,5562.154905660378
13,HI,5387,75598954.72000015,14033.591000556924
14,IA,14332,184796163.0200001,12893.95499720905
15,ID,1072,7054442.050000004,6580.636240671645
16,IL,51807,322627867.89999866,6227.495664678492
17,IN,18689,127780222.06999953,6837.1888313981235
18,KS,7650,63750608.23999994,8333.412841830057
19,KY,24441,232065091.53999972,9494.90984575098
20,LA,458689,15289756761.429838,33333.60242218548
21,MA,34393,273564586.11000067,7954.077460820536
22,MD,23731,161673232.63000023,6812.744200834361
23,ME,4662,31806563.52,6822.514697554698
24,MI,12948,57162570.85999999,4414.779955205437
25,MN,12120,92590437.25999996,7639.475021452142
26,MO,50013,557796873.4699953,11153.037679603209
27,MS,62698,2460958509.589971,39250.98902022347
28,MT,2102,8311719.6599999955,3954.195842055183
29,NC,101119,1277678379.9000065,12635.39374301572
30,ND,13200,183354278.2599998,13890.475625757561
31,NE,6153,53408085.30999982,8680.007363887506
32,NH,3983,27280473.960000027,6849.227707757978
33,NJ,191581,3592011791.549965,18749.311213272533
34,NM,1371,6230144.969999998,4544.2341137855565
35,NV,1843,18401179.610000007,9984.362240911561
36,NY,167128,3309983565.800013,19805.080930783668
37,OH,27046,192211821.25999925,7106.848379057874
38,OK,12675,162628517.35000026,12830.652256410278
39,OR,5745,57357509.26999995,9983.900656222793
40,PA,73110,816706154.3400061,11170.922641772755
41,PR,25539,91040309.55000012,3564.756237519093
42,RI,6573,73339425.28999998,11157.679186064199
43,SC,45720,614784118.0099976,13446.721741251042
44,SD,3648,29529712.560000036,8094.767697368431
45,TN,15388,216851972.95000038,14092.277940603091
46,TX,371330,13884373650.44976,37390.928959280856
47,UT,1057,4566789.13,4320.5195175023655
48,VA,49116,460962154.2999979,9385.172943643576
49,VI,3502,30013014.319999993,8570.249663049684
50,VT,2811,29298705.610000055,10422.876417644986
51,WA,13825,161150332.86000022,11656.443606509962
52,WI,8461,61561647.56999993,7275.930453847055
53,WV,27244,232052747.49000013,8517.572584422263
54,WY,541,2436632.8800000004,4503.94247689464
